item,item_transitivity,mean_sentence_transitivity,transitivity_binned,mean_sdi,mean_path_similarity_score,mean_embedding_score,gesturer,Alternate,Manipulation,Tool,Movement,Manner,HS1Code,HS2Code,finger_complexity,joint_complexity,flexion,nsf_flexion,selected_fingers,aperture_change,nsf_thumb,thumb_flex,two_handed
fizzle-down-IN,0,0.45,0,1.817940427,0.2525,6.902180967,RVN,0,0,0,1,1,BTk,B^T-,1,3,1,0,imrpthumb,0,1,1,1
poster-roll-up-IN,0,0.125,0,2.684656542,0.1252380952,7.216039537,CS,0,0,0,1,1,B^T-,,1,2,1,0,imrpthumb,0,-1,-1,0
balloon-deflate-IN,0,0.5583,0,2.976138801,0.05090517962,7.224765479,HO,0,0,0,0,0,8T(;/ B^T-,8T(;/ B^T-,3,2,4,-1,mthumb,0,0,1,1
poster-roll-up-IN,0,0.3167,0,2.445948228,0.03409273183,6.685677063,IP,0,0,0,1,1,1;T-;#,B^T-,3,1,1,1,ithumb,0,0,-1,1
coatrack-approach-IN,0,0.4,0,2.371899811,0.202141604,5.997905726,HO,0,0,0,1,0,B;/,,2,1,1,-1,imrp,0,-1,1,0
adjust-picture-TR,1,0.9,1,1.372765531,0.3207017544,4.861167827,CM,1,1,0,0,0,B@;/,B@;/,2,1,7,-1,imrp,0,-1,1,1
remove-cork-TR,1,1,1,2.134255323,0.1212067669,6.557224428,NP,0,1,0,0,0,BT^c Bk@;/,BT^(,1,3,5,0,imrpthumb,0,1,0,1
lid-blow-off-IN,0,0.625,0,2.95303753,0.03168671679,7.327209503,RVN,0,0,0,1,1,B^T-,BT^c,1,2,1,0,imrpthumb,0,-1,-1,1
hammer-nail-TR,1,0.925,1,0.9811063372,0.6645,3.570693715,RVN,0,1,1,0,0,1[;To;#,1T>;/,3,2,2,1,ithumb,0,2,1,1
toy-skitter-IN,0,0.525,0,2.284167449,0.143575188,7.77285708,CM,0,0,0,1,1,B^T- B^T,,1,2,1,0,imrpthumb,0,-1,-1,0
light-turn-on-IN,0,0.725,1,2.525535307,0.1233082707,6.767701287,CS,0,0,0,0,0,B^T- B^;#,Bc;/,1,2,1,0,imrpthumb,0,-1,-1,1
drop-ball-TR,1,0.5833,0,2.009709182,0.06887740184,5.740169003,NP,1,1,0,0,0,BT@ B^T- B@;/,B;/,1,1,7,0,imrpthumb,1,1,0,1
ball-drop-IN,0,0.175,0,2.574072609,0.07868170426,6.970097364,NP,1,0,0,1,0,BT@ B^T-,B;/,1,1,7,0,imrpthumb,1,1,0,1
reorient-pole-TR,1,0.8095,1,2.715188263,0.119446712,6.62370141,CS,0,1,0,0,0,BT-^[ BT^c,BT^c,1,2,2,0,imrpthumb,0,-1,-1,1
walk-backwards-IN,0,0,0,0.1985152433,0.9333333333,0.6645115852,CM,0,0,0,1,1,UT-^<;#,,2,2,3,1,imthumb,0,0,-1,0
toy-skitter-IN,0,0.55,0,2.733401778,0.09542105263,7.328897619,IP,0,0,0,1,1,BT^c,,1,2,5,0,imrpthumb,0,1,0,0
push-toy-in-box-TR,1,0.2281,0,2.738169943,0.02766259082,6.527514467,NP,0,1,0,0,0,U^[;# B@;/ BT-<,B;/,3,2,2,1,im,1,1,1,1
coatrack-approach-IN,0,0.15,0,1.672625446,0.4951783626,4.764727991,NP,0,0,0,1,0,B;/,,2,1,1,-1,imrp,0,-1,1,0
crush-can-TR,1,0.9333,1,2.51159468,0.1009924812,7.838233751,IP,0,1,0,0,0,BT-^c,Bo;T-,1,2,5,0,imrpthumb,0,-1,-1,1
drop-ball-TR,1,0.4375,0,2.447329531,0.09724561404,6.665058941,RVN,1,1,0,0,0,BT@ B^T-,B@;/ B^T-,1,1,7,0,imrpthumb,1,1,0,1
adjust-picture-TR,1,0.9333,1,2.608550235,0.1014035088,7.005848007,NP,1,1,0,0,0,BT-@,BT@,1,1,7,0,imrpthumb,0,-1,1,1
fan-turn-IN,0,0.3,0,2.254917598,0.1844385965,6.370637515,RVN,1,0,0,1,0,B^T-,,1,2,1,0,imrpthumb,0,-1,-1,0
toy-crawl-IN,0,0.0526,0,1.661705934,0.3746783626,6.263961694,CS,0,0,0,1,1,B^T,,1,2,1,0,imrpthumb,0,1,1,0
bread-spin-IN,0,0.5,0,1.467631168,0.4328684211,5.28747807,CM,1,0,0,1,1,1T-<;#,,2,2,3,1,ithumb,0,0,-1,0
tear-paper-TR,1,0.8,1,1.554432827,0.3354210526,5.872619631,CS,0,1,0,0,0,UT@;#,UT@;#,2,1,7,1,imthumb,0,2,1,1
reorient-pole-TR,1,0.825,1,2.578074865,0.08705263158,5.685918821,HO,0,1,0,0,0,BT^c,BT^c,1,2,5,0,imrpthumb,0,1,0,1
poster-roll-up-IN,0,0.45,0,2.535025162,0.1177418546,7.203501677,CM,0,0,0,1,1,B;/ 1;T;#,B^T-,3,1,1,-1,imrp,0,-1,1,1
car-pass-tower-IN,0,0.1316,0,2.086673901,0.3564327485,6.218892227,CM,0,0,0,1,0,B^T BT-c,B^T BT-c,1,2,1,0,imrpthumb,1,1,1,1
hanger-swing-IN,0,0.2941,0,2.69801102,0.07447410637,8.145490395,CS,0,0,0,1,1,BT-^c,,1,2,5,0,imrpthumb,0,-1,-1,0
taughten-string-TR,1,1,1,2.55394294,0.146387218,7.008126867,RVN,0,1,0,0,0,BT@,BT@,1,1,7,0,imrpthumb,0,1,0,1
knock-over-tower-TR,1,0.4583,0,2.511630344,0.1015444862,6.428480439,HO,1,1,0,0,0,B^;T-,BT- B^T;T-,2,2,1,0,imrpthumb,0,-1,-1,1
take-lid-off-TR,1,0.875,1,1.656937502,0.2487894737,6.099425096,CM,0,1,0,0,0,B^c;/,BT^(,2,2,5,-1,imrp,0,-1,1,1
balloon-deflate-IN,0,0.4211,0,2.372486887,0.227997076,6.789068727,IP,0,0,0,0,0,B^T- B^T,BT(,1,2,1,0,imrpthumb,0,-1,-1,1
move-box-TR,1,0.85,1,1.58582806,0.5205350877,4.598323331,HO,1,1,0,0,0,8T(;/,8T(;/,2,2,4,-1,mthumb,0,0,1,1
ball-roll-IN,0,0.15,0,1.778747513,0.4274385965,5.800434972,IP,0,0,0,1,1,1;#,,2,1,1,1,i,0,1,1,0
whirly-gig-drop-IN,0,0.05,0,2.425479705,0.1917368421,7.055695457,RVN,0,0,0,1,1,1;#,1;#,2,1,1,1,i,0,1,1,1
roll-out-TR,1,0.825,1,2.552734438,0.131160401,7.751974935,NP,0,1,0,0,0,BT- Bc;/,BT- BT-c,1,1,1,0,imrpthumb,1,-1,-1,1
shake-shaker-TR,1,0.9833,1,0.8734641445,0.6364912281,2.903572601,RVN,0,1,0,0,0,Bkc;/,Bkc;/,2,3,5,-1,imrp,0,-1,1,1
lid-blow-off-IN,0,0.175,0,2.920687027,0.1210087719,7.571014684,NP,0,0,0,1,1,B;/,BTc,2,1,1,-1,imrp,0,-1,1,1
hammer-nail-TR,1,1,1,0.9836002995,0.5901184211,4.103305159,NP,0,1,1,0,0,1@;T-;#,1<;#,3,1,7,1,ithumb,0,0,1,1
whirly-gig-drop-IN,0,0.6333,0,2.691724412,0.1144302423,7.264472691,HO,0,0,0,1,1,BTk B^T BT-,B^T BT-,1,4,1,0,imrpthumb,0,1,1,1
plug-in-TR,1,1,1,2.35072997,0.1867986633,6.992287039,HO,0,1,1,0,0,1[;To;#,BT^c,3,2,2,1,ithumb,0,2,1,1
push-button-microwave-TR,1,0.85,1,2.345737404,0.1761416989,7.337924445,CM,0,1,0,0,0,1;#,B^T-,2,1,1,1,i,0,1,1,1
ball-bounce-IN,0,0.3167,0,1.596283457,0.04105263158,4.73506268,IP,1,0,0,1,1,BT^(,,1,2,4,0,imrpthumb,0,1,0,0
remove-cork-TR,1,0.95,1,2.359713755,0.1342781955,6.675658869,RVN,0,1,0,0,0,BT^c BT@,BT^(,1,2,5,0,imrpthumb,0,1,0,1
roll-out-TR,1,0.85,1,2.466577144,0.1554799499,7.218421484,CM,0,1,0,0,0,B;/,B;/,2,1,1,-1,imrp,0,-1,1,1
hit-balloon-TR,1,0.975,1,2.094160066,0.3070877193,6.183359098,IP,0,1,0,0,0,B^T-,BT@ BTkc,1,2,1,0,imrpthumb,0,-1,-1,1
fan-turn-IN,0,0.3167,0,1.98008112,0.3124619883,6.039287255,CS,1,0,0,1,0,B;/,,2,1,1,-1,imrp,0,-1,1,0
person-bend-over-IN,0,0.0667,0,2.044412866,0.3823796992,5.792015051,CM,0,0,0,0,0,B;/,,2,1,1,-1,imrp,0,-1,1,0
racecar-into-box-IN,0,0.35,0,2.160129811,0.1705726817,7.003197218,RVN,0,0,0,1,0,BT-c,B;/,1,2,5,0,imrpthumb,0,-1,-1,1
ball-hit-waterbottle-TR,1,0.5,0,2.031759219,0.157547619,6.814226246,CS,0,0,0,1,0,BTo B^T,Bo;/ BT-^c,1,2,6,0,imrpthumb,1,1,0,1
pour-bottle-caps-TR,1,1,1,2.024703447,0.1807631579,6.641203244,IP,1,1,1,0,0,BTc,,1,2,5,0,imrpthumb,0,1,0,0
push-toy-in-box-TR,1,0.7,1,2.467602582,0.1384010025,6.79117933,IP,0,1,0,0,0,B^T-,B^T- B^[;/,1,2,1,0,imrpthumb,0,-1,-1,1
shaving-cream-spray-IN,0,0.225,0,2.672351698,0.07843050809,7.76019908,CS,1,0,0,1,1,1<;T-;# 1T[;# B^T B^T-,B^T,4,2,3,1,ithumb,0,0,-1,1
close-microwave-door-TR,1,0.9667,1,2.143555809,0.1339553429,5.774051255,NP,1,1,0,0,0,B;/,B;/,2,1,1,-1,imrp,0,-1,1,1
whirly-gig-drop-IN,0,0.075,0,1.656454022,0.4433596491,5.47271602,CS,0,0,0,1,1,B^T BT^x,B^T-,1,3,1,0,imrpthumb,0,1,1,1
move-box-TR,1,0.85,1,0.9261557131,0.7421052632,3.652816554,RVN,1,1,0,0,0,B^T,B^T,1,2,1,0,imrpthumb,0,1,1,1
close-microwave-door-TR,1,0.625,0,2.263923113,0.2380885547,6.913451219,HO,1,1,0,0,0,B;/,B^T-,2,1,1,-1,imrp,0,-1,1,1
pour-bottle-caps-TR,1,0.95,1,2.040628112,0.1322368421,6.398086522,RVN,1,1,1,0,0,BTkc B^T,B^T,1,4,5,0,imrpthumb,1,1,0,1
toy-appear-in-box-IN,0,0.45,0,2.865235252,0.0460877193,7.205472077,RVN,0,0,0,1,0,1T@;#,B^T-,2,1,7,1,ithumb,0,2,1,1
bread-spin-IN,0,0.7,1,2.560799541,0.04514786967,7.003323113,IP,1,0,0,1,1,BT^c 1T-;#,BT^c,2,2,5,0,imrpthumb,1,1,0,1
drop-ball-TR,1,0.65,0,2.669880409,0.04119005848,7.21717772,CS,1,1,0,0,0,BT@ B^T,,1,1,7,0,imrpthumb,1,1,0,0
cards-scatter-IN,0,0.1,0,2.363700734,0.1736441103,6.75258403,RVN,0,0,0,1,1,B^T-,B^T-,1,2,1,0,imrpthumb,0,-1,-1,1
plug-in-TR,1,0.5833,0,2.897932597,0.04990208476,7.440357035,RVN,0,1,1,0,0,U^;#,UT-^;#,2,2,1,1,im,0,1,1,1
book-fall-over-IN,0,0.9,1,1.958172778,0.2587719298,6.197520831,NP,1,0,0,1,0,BTc,,1,2,5,0,imrpthumb,0,1,0,0
put-book-on-side-TR,1,0.95,1,2.809783478,0.1418684211,6.950754129,IP,1,1,0,0,0,BTo,,1,2,6,0,imrpthumb,0,1,0,0
stick-break-IN,0,0.25,0,2.19784367,0.192731203,6.82381129,RVN,1,0,0,0,0,B^T-,B^T-,1,2,1,0,imrpthumb,0,-1,-1,1
paper-drop-IN,0,0.0263,0,1.615220971,0.4220272904,5.672918885,RVN,0,0,0,1,1,B^T-,,1,2,1,0,imrpthumb,0,-1,-1,0
hammer-nail-TR,1,0.95,1,1.146463176,0.5910338346,4.150457908,HO,0,1,1,0,0,1@;T-;#,1<;T;#,3,1,7,1,ithumb,0,0,1,1
turn-fan-TR,1,0.8917,1,2.798820734,0.04262149692,6.491094247,IP,1,1,0,0,0,BT-^c,BTkc,1,2,5,0,imrpthumb,0,-1,-1,1
push-button-microwave-TR,1,1,1,2.111590479,0.1627305764,6.673658818,HO,0,1,0,0,0,1T-;#,B^T-,2,1,1,1,ithumb,0,0,-1,1
picture-shift-IN,0,0.7,1,2.60238078,0.11814168,6.779990373,HO,1,0,0,1,0,Bc;/,BT(,2,2,5,-1,imrp,0,-1,1,1
cut-bread-TR,1,1,1,1.664997917,0.4359185464,5.503640891,CM,0,1,1,0,0,1[;T;#,B^T-,3,2,2,1,ithumb,0,2,1,1
car-pass-tower-IN,0,0.125,0,2.601568303,0.1869987469,7.141872468,NP,0,0,0,1,0,BT> B^T-,BTc,1,2,6,0,imrpthumb,1,1,0,1
take-keys-out-of-box-TR,1,0.95,1,1.803298288,0.3324122807,5.49971963,HO,0,1,0,0,0,1T>;#,BT-^c,2,2,6,1,ithumb,0,2,1,1
adjust-picture-TR,1,0.9,1,2.087085295,0.1557431078,6.606519442,IP,1,1,0,0,0,Bk@;/,Bk@;/,2,3,7,-1,imrp,0,-1,1,1
spray-shaving-cream-TR,1,0.5,0,2.351936534,0.1401654135,7.213862758,CS,1,1,1,0,0,1T[;#,B^T-,2,2,2,1,ithumb,0,2,1,1
ball-roll-IN,0,0.15,0,2.066151093,0.3428333333,6.262567648,CM,0,0,0,1,1,1;T;#,,3,1,1,1,ithumb,0,2,1,0
pop-balloon-TR,1,0.675,0,2.564307595,0.1218437002,7.348164956,IP,0,1,1,0,0,1To;#,1@;T-;#,2,2,6,1,ithumb,0,2,1,1
knock-over-tower-TR,1,0.9167,1,1.558561764,0.3562651727,4.675556928,NP,1,1,0,0,0,B;# BT-^<,JT-;# B^;T-,2,1,1,1,imrp,0,1,1,1
ball-bounce-IN,0,0.4,0,2.427144385,0.152510177,6.528597391,CM,1,0,0,1,1,1;#,,2,1,1,1,i,0,1,1,0
spin-bread-TR,1,0.7982,1,2.152290619,0.09783625731,6.69236055,IP,1,1,0,0,0,U;#,BT^( Bkc;/,2,1,1,1,im,0,1,1,1
shaving-cream-spray-IN,0,0.7794,1,2.834125877,0.1058823529,7.741164604,CM,1,0,0,1,1,BT^c 1To;/,BT^c,2,2,5,0,imrpthumb,0,1,0,1
door-microwave-close-IN,0,0.9474,1,2.362439689,0.102966908,7.54661123,NP,1,0,0,1,0,B:/,B:/,1,1,1,-1,imrp,0,-1,0,1
book-fall-over-IN,0,0.3,0,0.9261557131,0.5756140351,3.233302902,CM,1,0,0,1,0,B;/,,2,1,1,-1,imrp,0,-1,1,0
hanger-swing-IN,0,0.5263,0,2.473207589,0.1880116959,7.063546369,RVN,0,0,0,1,1,1T(;#,1T(;#,2,2,4,1,ithumb,0,2,1,1
remove-cork-TR,1,0.95,1,2.719390922,0.04912865497,6.690656754,CS,0,1,0,0,0,BT^c,BT^(,1,2,5,0,imrpthumb,0,1,0,1
knock-over-tower-TR,1,0.95,1,1.4493638,0.5460964912,4.647923643,CM,1,1,0,0,0,BT-c BT^<,B^T- Bk@;/,1,2,5,0,imrpthumb,0,-1,-1,1
door-microwave-close-IN,0,0.5167,0,2.397936544,0.107131465,6.658998438,HO,1,0,0,1,0,B;/,B;/,2,1,1,-1,imrp,0,-1,1,1
spray-shaving-cream-TR,1,0.8947,1,1.659080699,0.2916179337,6.642477753,CM,1,1,1,0,0,1[;T-;#,1c;T-;#,3,2,2,1,ithumb,0,0,-1,1
reorient-pole-TR,1,0.8583,1,2.738078355,0.1220037594,6.420609914,IP,0,1,0,0,0,BTc,BTc,1,2,5,0,imrpthumb,0,1,0,1
bowl-break-IN,0,0.7667,1,2.959830013,0.04824561404,7.012763426,IP,0,0,0,0,0,BT-^c B^c;/ B^T-,BT^c BT-^c B^T-,1,2,5,0,imrpthumb,1,-1,-1,1
bounce-ball-TR,1,1,1,1.353525271,0.2968421053,6.56973637,CM,1,1,0,0,0,B;/,,2,1,1,-1,imrp,0,-1,1,0
balloon-deflate-IN,0,0.1,0,2.271868513,0.253037594,7.130863528,CS,0,0,0,0,0,B^T- BT^x,B^T- BT^x,1,3,1,0,imrpthumb,0,-1,-1,1
toy-crawl-IN,0,0.0417,0,2.030716831,0.2887368421,6.599592281,CM,0,0,0,1,1,BT^c BT-^c,BT-^c,1,2,5,0,imrpthumb,0,1,0,1
light-turn-on-IN,0,0.4211,0,2.582045486,0.1691482494,6.372077409,HO,0,0,0,0,0,BTo B^T,BT^c,1,2,6,0,imrpthumb,1,1,0,1
spray-shaving-cream-TR,1,0.975,1,1.320508785,0.08421052632,5.510086142,NP,1,1,1,0,0,1[;# BT> B^T,B^T-,3,2,2,1,i,1,1,1,1
dip-finger-in-jar-TR,1,1,1,2.405342379,0.09873809524,6.606158961,CS,0,1,0,0,0,J;T-;#,BT^c,3,1,1,1,pthumb,0,0,-1,1
ball-drop-IN,0,0.1083,0,1.644173078,0.04197368421,5.276618114,CM,1,0,0,1,0,BTk,B;/,1,3,1,0,imrpthumb,0,1,1,1
cards-scatter-IN,0,0.3421,0,2.954673212,0.1071595656,7.594475567,CM,0,0,0,1,1,1;T;#,Bo;T-,3,1,1,1,ithumb,0,2,1,1
paper-airplane-land-IN,0,0.275,0,2.535694688,0.1585463659,6.603033366,IP,0,0,0,1,0,Uc;#,,2,2,5,1,im,0,1,1,0
walk-backwards-IN,0,0,0,0.5875009311,0.8212719298,1.960368581,RVN,0,0,0,1,1,U^c;#,,2,2,5,1,im,0,1,1,0
fizzle-down-IN,0,0.2667,0,2.72840754,0.1084091479,8.165267196,HO,0,0,0,1,1,BTo BT^c,BT^c,1,2,6,0,imrpthumb,0,1,0,1
fan-turn-IN,0,0.3947,0,2.47635402,0.1826608187,6.81597949,HO,1,0,0,1,0,1<;T-;#,B^T-,3,2,3,1,ithumb,0,0,-1,1
toy-skitter-IN,0,0.2,0,2.487257699,0.1659912281,7.354059994,HO,0,0,0,1,1,B^T,B^T-,1,2,1,0,imrpthumb,0,1,1,1
drop-ball-TR,1,0.4,0,1.63107863,0.3640789474,4.585952992,CM,1,1,0,0,0,B@;/,BT-c B;/,2,1,7,-1,imrp,0,-1,1,1
hanger-swing-IN,0,0.7083,1,3.000356566,0.04993176122,7.066667283,IP,0,0,0,1,1,BT-,,1,1,1,0,imrpthumb,0,-1,-1,0
knock-over-tower-TR,1,0.525,0,2.997756703,0.03164912281,7.49008978,IP,1,1,0,0,0,B;/ B^T-,B^T-,2,1,1,-1,imrp,0,-1,1,1
put-book-on-side-TR,1,0.9,1,2.224910346,0.174254386,6.798544841,NP,1,1,0,0,0,BT(,,1,2,4,0,imrpthumb,0,1,0,0
light-candle-TR,1,1,1,0.3676494774,0.8052631579,1.254506413,RVN,0,1,1,0,0,B@;T- BT-k@,1;#,2,2,7,0,imrpthumb,0,-1,1,1
pull-out-measuring-tape-TR,1,0.975,1,1.609612066,0.3995513784,4.950611639,HO,0,1,0,0,0,1[;To;#,BTo,3,2,2,1,ithumb,0,2,1,1
reorient-pole-TR,1,0.775,1,3.044706352,0.03684294069,6.968482294,CM,0,1,0,0,0,B^T BT^c,BT(,1,2,1,0,imrpthumb,1,1,1,1
spray-shaving-cream-TR,1,0.725,1,2.665069073,0.06303780284,7.476313568,IP,1,1,1,0,0,1^[;T;# 1T;# BTo BT^<,Bk@;/,4,2,2,1,ithumb,1,2,1,1
measure-book-TR,1,0.925,1,2.620369896,0.09252506266,6.820261746,IP,0,1,1,0,0,1@;T-;#,1@;T-;#,3,1,7,1,ithumb,0,0,1,1
coatrack-approach-IN,0,0.2,0,2.306436695,0.2190741627,6.007290695,RVN,0,0,0,1,0,B;/,,2,1,1,-1,imrp,0,-1,1,0
hit-balloon-TR,1,0.9333,1,2.359713755,0.2723684211,6.766780856,CM,0,1,0,0,0,B;/,BT@,2,1,1,-1,imrp,0,-1,1,1
picture-shift-IN,0,0.2333,0,2.122057746,0.2997017544,6.61498224,RVN,1,0,0,1,0,1T;#,1T;#,2,1,1,1,ithumb,0,2,1,1
tape-measurer-bend-half-IN,0,0.3125,0,1.963493967,0.3223947368,5.083760859,CS,0,0,0,0,0,BTkc,BT^c,1,3,5,0,imrpthumb,0,1,0,1
pop-balloon-TR,1,0.6417,0,2.540282592,0.08476190476,7.194742559,RVN,0,1,1,0,0,1To;/ B^T-,B@;/ B^T-,3,2,6,-1,ithumb,1,0,1,1
ball-roll-IN,0,0.5958,0,2.244841398,0.0528283208,6.21600223,NP,0,0,0,1,1,B;#,,2,1,1,1,imrp,0,1,1,0
ball-roll-IN,0,0.1583,0,1.786462548,0.2969298246,5.679166163,HO,0,0,0,1,1,1;T;#,B;T,3,1,1,1,ithumb,0,2,1,1
shaving-cream-spray-IN,0,0.4737,0,2.727229735,0.105564606,7.262763633,IP,1,0,0,1,1,1T-;#,,2,1,1,1,ithumb,0,0,-1,0
close-microwave-door-TR,1,0.9,1,2.224411831,0.162338118,6.060513237,RVN,1,1,0,0,0,B;/,,2,1,1,-1,imrp,0,-1,1,0
turn-fan-TR,1,0.9,1,1.607575155,0.4464824561,4.60553115,NP,1,1,0,0,0,Bc;/,B@;T-,2,2,5,-1,imrp,0,-1,1,1
roll-out-TR,1,0.875,1,2.202521075,0.1442293233,7.670387749,CS,0,1,0,0,0,B^T-,B^T-,1,2,1,0,imrpthumb,0,-1,-1,1
knock-over-tower-TR,1,0.5,0,2.582424317,0.1589457735,7.163832247,CS,1,1,0,0,0,B^T-,,1,2,1,0,imrpthumb,0,-1,-1,0
car-pass-tower-IN,0,0.15,0,1.968090131,0.4220964912,6.558156287,RVN,0,0,0,1,0,B;T,,2,1,1,0,imrpthumb,0,1,1,0
coatrack-approach-IN,0,0.4,0,2.180945561,0.3012320574,6.341249729,CM,0,0,0,1,0,B;/,,2,1,1,-1,imrp,0,-1,1,0
poster-roll-up-IN,0,0.2193,0,2.06327817,0.1549707602,6.119544694,NP,0,0,0,1,1,B@;/ B^T- BT-,B@;/,2,1,7,-1,imrp,1,-1,1,1
balloon-deflate-IN,0,0.0526,0,2.694153704,0.09123085492,7.300630922,NP,0,0,0,0,0,BT^( B^T,BT^( B^T,1,2,4,0,imrpthumb,0,1,0,1
lid-blow-off-IN,0,0.625,0,2.578018514,0.0921754386,6.826100154,CS,0,0,0,1,1,BT^c B^T,BT^(,1,2,5,0,imrpthumb,1,1,0,1
cut-bread-TR,1,0.9474,1,1.788653839,0.3625893437,6.240735892,IP,0,1,1,0,0,1[;To;#,,3,2,2,1,ithumb,0,2,1,0
stick-break-IN,0,0.3833,0,1.941785059,0.2837719298,5.513657494,IP,1,0,0,0,0,B^T- B;/,B^T-,1,2,1,0,imrpthumb,0,-1,-1,1
paper-drop-IN,0,0.025,0,1.454218045,0.5236842105,5.362145002,CM,0,0,0,1,1,B^T-,,1,2,1,0,imrpthumb,0,-1,-1,0
walk-backwards-IN,0,0.275,0,2.72835237,0.1911269841,6.661493071,NP,0,0,0,1,1,B^T- B^T,,1,2,1,0,imrpthumb,0,-1,-1,0
whirly-gig-drop-IN,0,0.0833,0,1.206736844,0.5807017544,3.638826979,IP,0,0,0,1,1,B^T,,1,2,1,0,imrpthumb,0,1,1,0
put-book-on-side-TR,1,1,1,1.192334813,0.4906766917,4.488684032,HO,1,1,0,0,0,BT^c,,1,2,5,0,imrpthumb,0,1,0,0
bounce-ball-TR,1,0.6,0,2.194474391,0.1840714096,7.403511828,CS,1,1,0,0,0,B;/,,2,1,1,-1,imrp,0,-1,1,0
march-IN,0,0.375,0,1.460186025,0.3824561404,5.188746372,NP,0,0,0,1,1,UT^[;#,BT@,2,2,2,1,imthumb,0,2,1,1
dip-finger-in-jar-TR,1,1,1,2.310717508,0.1386658312,6.617730405,CM,0,1,0,0,0,JT-;#,Bc;/,2,1,1,1,pthumb,0,0,-1,1
break-stick-TR,1,1,1,1.892811787,0.1829824561,5.594527619,HO,1,1,0,0,0,BT@,BT@,1,1,7,0,imrpthumb,0,1,0,1
door-microwave-close-IN,0,0.325,0,2.721484626,0.06595112782,7.508398476,CS,1,0,0,1,0,B^T-,B^T-,1,2,1,0,imrpthumb,0,-1,-1,1
pull-out-measuring-tape-TR,1,0.95,1,1.211849082,0.4431578947,3.759733458,CS,0,1,0,0,0,BT@,BT^c,1,1,7,0,imrpthumb,0,1,0,1
fizzle-down-IN,0,0.625,0,2.552734438,0.1088070175,7.331486437,CS,0,0,0,1,1,BT^<,BT^c,1,2,3,0,imrpthumb,0,1,0,1
lid-blow-off-IN,0,0.6053,0,2.331548373,0.1074491785,7.022790389,HO,0,0,0,1,1,B;/,BT-c,2,1,1,-1,imrp,0,-1,1,1
tape-measurer-bend-half-IN,0,0.1053,0,1.456696645,0.5468323587,4.423477284,CM,0,0,0,0,0,BT-c,BT-c,1,2,5,0,imrpthumb,0,-1,-1,1
turn-fan-TR,1,0.75,1,2.415407902,0.1235087719,6.01391575,HO,1,1,0,0,0,B^T-,B^T-,1,2,1,0,imrpthumb,0,-1,-1,1
book-fall-over-IN,0,0.25,0,2.04535658,0.2712280702,5.998934609,CS,1,0,0,1,0,B^T,,1,2,1,0,imrpthumb,0,1,1,0
push-button-microwave-TR,1,0.75,1,2.482468357,0.08297953216,5.763072573,IP,0,1,0,0,0,1;#,,2,1,1,1,i,0,1,1,0
reorient-pole-TR,1,0.95,1,2.606663527,0.04052631579,6.132345505,RVN,0,1,0,0,0,B^T,B^T,1,2,1,0,imrpthumb,0,1,1,1
roll-out-TR,1,0.9,1,2.319574997,0.1180716374,7.380699622,IP,0,1,0,0,0,B;/,B;/,2,1,1,-1,imrp,0,-1,1,1
knock-over-tower-TR,1,0.75,1,2.079441542,0.2139122807,6.4090114,RVN,1,1,0,0,0,B^T- BT-,B^T BT-,1,2,1,0,imrpthumb,0,-1,-1,1
paper-drop-IN,0,0.0526,0,1.777135881,0.3943817878,6.168518498,NP,0,0,0,1,1,U;#,,2,1,1,1,im,0,1,1,0
taughten-string-TR,1,0.975,1,2.543556776,0.04945948204,6.948821058,CM,0,1,0,0,0,1@;T-;#,1@;T-;#,3,1,7,1,ithumb,0,0,1,1
close-microwave-door-TR,1,0.9474,1,2.410194209,0.1227923441,6.419959231,CS,1,1,0,0,0,B^T-,BT@,1,2,1,0,imrpthumb,0,-1,-1,1
book-fall-over-IN,0,0.4,0,1.90481271,0.3109824561,5.996187182,HO,1,0,0,1,0,B^T,B^T,1,2,1,0,imrpthumb,0,1,1,1
take-keys-out-of-box-TR,1,0.8333,1,2.436002929,0.07036090226,6.432932132,NP,0,1,0,0,0,BT^c,BTc,1,2,5,0,imrpthumb,0,1,0,1
cut-bread-TR,1,0.95,1,1.463300093,0.454751462,4.866533946,CS,0,1,1,0,0,1[;To;#,BT^c,3,2,2,1,ithumb,0,2,1,1
ball-hit-waterbottle-TR,1,0.6583,0,2.614966304,0.04163868003,6.878167205,RVN,0,0,0,1,0,B;/,B;/,2,1,1,-1,imrp,0,-1,1,1
hit-bottle-with-ball-TR,1,0.7778,1,2.668078702,0.1098420479,6.774767137,CS,0,1,1,0,0,BT@,,1,1,7,0,imrpthumb,0,1,0,0
put-book-on-side-TR,1,0.9,1,2.447477654,0.1895446366,6.434610901,RVN,1,1,0,0,0,B^;#,B^T-,2,2,1,1,imrp,0,1,1,1
ball-roll-IN,0,0.05,0,1.766068057,0.3588684211,5.548146425,RVN,0,0,0,1,1,1<;T;#,1<;T;#,3,2,3,1,ithumb,0,2,0,1
light-candle-TR,1,0.8413,1,2.219450012,0.140952381,6.641377725,CS,0,1,1,0,0,B@;T- BT-@,BT^c B^T-,2,1,7,0,imrpthumb,0,-1,1,1
put-cup-on-coaster-TR,1,0.9474,1,2.626164786,0.2490575977,7.160623716,RVN,0,1,0,0,0,BT@,,1,1,7,0,imrpthumb,0,1,0,0
